
> relight-prototype@0.1.0 city:validate
> tsx packages/harness/src/cityValidationCli.ts --seeds 80,88,102,105,113,206,252,272,296,305,380,443,473,490,503,574,584,592,596,645,670,700,737,749,808,842,852,858,883,889,900,933,970,988,1054,1139,1181,1261,1264,1282,1304,1319,1328,1334,1340,1343,1355,1435,1481,1520,1544,1781,1904,1945,1947,1975,2011,2038,2076,2098,2105,2106,2138,2148,2170,2173,2202,2219,2235,2274,2280,2312,2313,2341,2366,2369,2448,2468,2506,2716,2732,2863,2870,2876,2925,2933,2942,2975,2996,3054,3199,3231,3296,3408,3480,3517,3524,3526,3554,3610,3651,3659,3750,3792,3814,3888,3891,3908,3994,4035,4037,4066,4075,4316,4331,4336,4355,4377,4500,4506,4517,4588,4654,4657,4677,4696,4709,4721,4774,4778,4863,4887,4931,4970,4977,4989,5001,5021,5051,5082,5090,5130,5138,5164,5196,5200,5215,5302,5319,5406,5597,5602,5610,5627,5660,5671,5682,5757,5913,5932,5969,6023,6027,6054,6065,6114,6169,6173,6197,6200,6226,6241,6395,6411,6464,6472,6484,6491,6589,6711,6713,6752,6832,6875,6902,6909,6935,6972,6987,7028,7148,7167,7172,7262,7324,7328,7373,7384,7395,7411,7483,7574,7617,7627,7630,7639,7722,7730,7781,8000,8057,8079,8102,8117,8156,8191,8222,8243,8318,8358,8376,8413,8449,8566,8595,8605,8670,8716,8813,8830,8894,8895,8958,8967,8989,9043,9044,9087,9161,9164,9185,9258,9314,9322,9334,9474,9533,9594,9665,9681,9701,9711,9734,9866,9868,9900,9904,9909 --out docs/evidence/p9-04r-2026-09-09/failed-seeds-1 --workers 12

148/258: seed 5406 passed; 0 findings; 3103 ms
149/258: seed 5602 passed; 0 findings; 2983 ms
150/258: seed 5597 passed; 0 findings; 3258 ms
151/258: seed 5610 passed; 0 findings; 3119 ms
152/258: seed 5660 passed; 0 findings; 3047 ms
153/258: seed 5671 passed; 0 findings; 2890 ms
154/258: seed 5757 passed; 0 findings; 2934 ms
155/258: seed 5627 passed; 0 findings; 3792 ms
156/258: seed 5682 passed; 0 findings; 3469 ms
157/258: seed 5913 passed; 0 findings; 3109 ms
158/258: seed 5932 passed; 0 findings; 2819 ms
159/258: seed 5969 passed; 0 findings; 3131 ms
160/258: seed 6027 passed; 0 findings; 2874 ms
161/258: seed 6023 passed; 0 findings; 3830 ms
162/258: seed 6054 passed; 0 findings; 2974 ms
163/258: seed 6065 passed; 0 findings; 3332 ms
164/258: seed 6173 passed; 0 findings; 2984 ms
165/258: seed 6169 passed; 0 findings; 3310 ms
166/258: seed 6114 passed; 0 findings; 3689 ms
167/258: seed 6200 passed; 0 findings; 3738 ms
168/258: seed 6197 passed; 0 findings; 4285 ms
169/258: seed 6226 passed; 0 findings; 4040 ms
170/258: seed 6395 passed; 0 findings; 3215 ms
171/258: seed 6411 passed; 0 findings; 3387 ms
172/258: seed 6241 passed; 0 findings; 3836 ms
173/258: seed 6464 passed; 0 findings; 3441 ms
174/258: seed 6484 passed; 0 findings; 3802 ms
175/258: seed 6472 passed; 0 findings; 3936 ms
176/258: seed 6491 passed; 0 findings; 3849 ms
177/258: seed 6711 passed; 0 findings; 3366 ms
178/258: seed 6713 passed; 0 findings; 3162 ms
179/258: seed 6589 passed; 0 findings; 3938 ms
180/258: seed 6832 passed; 0 findings; 3141 ms
181/258: seed 6875 passed; 0 findings; 3276 ms
182/258: seed 6902 passed; 0 findings; 3231 ms
183/258: seed 6752 passed; 0 findings; 3948 ms
184/258: seed 6935 passed; 0 findings; 2981 ms
185/258: seed 6972 passed; 0 findings; 3385 ms
186/258: seed 6909 passed; 0 findings; 3742 ms
187/258: seed 6987 passed; 0 findings; 2989 ms
188/258: seed 7028 passed; 0 findings; 2834 ms
189/258: seed 7167 passed; 0 findings; 3064 ms
190/258: seed 7172 passed; 0 findings; 2974 ms
191/258: seed 7324 passed; 0 findings; 2726 ms
192/258: seed 7148 passed; 0 findings; 3650 ms
193/258: seed 7262 passed; 0 findings; 3698 ms
194/258: seed 7328 passed; 0 findings; 3166 ms
195/258: seed 7373 passed; 0 findings; 2966 ms
196/258: seed 7395 passed; 0 findings; 2791 ms
197/258: seed 7411 passed; 0 findings; 2898 ms
198/258: seed 7574 passed; 0 findings; 2871 ms
199/258: seed 7617 passed; 0 findings; 2858 ms
200/258: seed 7483 passed; 0 findings; 3309 ms
201/258: seed 7627 passed; 0 findings; 3215 ms
202/258: seed 7630 passed; 0 findings; 2946 ms
203/258: seed 7722 passed; 0 findings; 2845 ms
204/258: seed 7639 passed; 0 findings; 3313 ms
205/258: seed 7730 passed; 0 findings; 2930 ms
206/258: seed 7781 passed; 0 findings; 3352 ms
207/258: seed 8000 passed; 0 findings; 3042 ms
208/258: seed 8079 passed; 0 findings; 2843 ms
209/258: seed 8117 passed; 0 findings; 2783 ms
210/258: seed 8057 passed; 0 findings; 3960 ms
211/258: seed 8191 passed; 0 findings; 2738 ms
212/258: seed 8156 passed; 0 findings; 2983 ms
213/258: seed 8222 passed; 0 findings; 3267 ms
214/258: seed 8243 passed; 0 findings; 2846 ms
215/258: seed 8358 passed; 0 findings; 2725 ms
216/258: seed 8318 passed; 0 findings; 2814 ms
217/258: seed 8413 passed; 0 findings; 2774 ms
218/258: seed 8376 passed; 0 findings; 3186 ms
219/258: seed 8449 passed; 0 findings; 2737 ms
220/258: seed 8566 passed; 0 findings; 3618 ms
221/258: seed 8605 passed; 0 findings; 2666 ms
222/258: seed 8595 passed; 0 findings; 3145 ms
223/258: seed 8716 passed; 0 findings; 3335 ms
224/258: seed 8670 passed; 0 findings; 3796 ms
225/258: seed 8813 passed; 0 findings; 2804 ms
226/258: seed 8894 passed; 0 findings; 2621 ms
227/258: seed 8830 passed; 0 findings; 2823 ms
228/258: seed 8958 passed; 0 findings; 3109 ms
229/258: seed 8967 passed; 0 findings; 3096 ms
230/258: seed 8989 passed; 0 findings; 2653 ms
231/258: seed 8895 passed; 0 findings; 3945 ms
232/258: seed 9043 passed; 0 findings; 2818 ms
233/258: seed 9087 passed; 0 findings; 2755 ms
234/258: seed 9044 passed; 0 findings; 3306 ms
235/258: seed 9161 passed; 0 findings; 4191 ms
236/258: seed 9185 passed; 0 findings; 3196 ms
237/258: seed 9164 passed; 0 findings; 3287 ms
238/258: seed 9258 passed; 0 findings; 3126 ms
239/258: seed 9322 passed; 0 findings; 3124 ms
240/258: seed 9334 passed; 0 findings; 3235 ms
241/258: seed 9314 passed; 0 findings; 3653 ms
242/258: seed 9474 passed; 0 findings; 3317 ms
